project,country,status,discovery_year,start_year,operator,owner,parent,fuel_type,unit_type,lat,lng,url
Abang,Nigeria,operating,2002.0,,Mobil,ExxonMobil;Nigerian National Petroleum Corporation,ExxonMobil Corporation;Nigerian National Petroleum Corporation,oil,field,4.229,7.642,https://www.gem.wiki/Abang_Oil_Field_(Nigeria)
Abiteye,Nigeria,operating,1970.0,,Chevron Nigeria Ltd,,,oil and gas,field,5.663,5.296,https://www.gem.wiki/Abiteye_Oil_and_Gas_Field_(Nigeria)
Abo,Nigeria,operating,,2003,Nigerian Agip Exploration,Eni S.P.A. (85%);Oando Energy Resources (15%),Eni S.P.A. (85%);Oando Energy Resources (15%),oil and gas,field,5.761,4.466,https://www.gem.wiki/Abo_Oil_and_Gas_Field_(Nigeria)
Adanga,Nigeria,operating,1980.0,,Addax,,,oil and gas,field,4.308,8.339,https://www.gem.wiki/Adanga_Oil_and_Gas_Field_(Nigeria)
Adanga South,Nigeria,operating,,,Addax,,,oil and gas,field,4.8765,7.2907,https://www.gem.wiki/Adanga_South_Oil_and_Gas_Field_(Nigeria)
Adua,Nigeria,operating,1967.0,,Mobil,,,oil and gas,field,4.1078,7.6988,https://www.gem.wiki/Adua_Oil_and_Gas_Field_(Nigeria)
Afam,Nigeria,operating,,,Nigerian National Petroleum Corporation,,,oil,field,4.801,7.321,https://www.gem.wiki/Afam_Oil_Field_(Nigeria)
Afiesere/Eriemu,Nigeria,operating,1961.0,1964,Nigerian Petroleum Development Company,Nigerian Petroleum Development Company (55%);Shoreline Natural Resources Limited (45%),Nigerian National Petroleum Corporation (55%);Shoreline Power Company Limited (nan%);Heritage Oil Limited (nan%),oil,field,5.5453,6.0273,https://www.gem.wiki/AfiesereEriemu_Oil_Field_(Nigeria)
Agbada,Nigeria,operating,1960.0,,TNOG Oil and Gas Limited,TNOG Oil and Gas Limited (45%);Nigerian National Petroleum Corporation (55%),Nigerian National Petroleum Corporation (55%),oil and gas,field,4.937,6.975,https://www.gem.wiki/Agbada_Oil_and_Gas_Field_(Nigeria)
Agbami,Nigeria,operating,1998.0,2008,Chevron,Chevron (67.3%);Equinor (20.2%);Petrobras (12.5%),Chevron Corporation (67.3%);Equinor ASA (20.2%);Petrobras (12.5%);Petróleo Brasileiro S.A. (12.5%),oil and gas,field,3.429,5.55,https://www.gem.wiki/Agbami_Oil_and_Gas_Field_(Nigeria)
Agbara,Nigeria,operating,1981.0,,Agip Energy and Natural Resources,,,oil and gas,field,3.928,6.386,https://www.gem.wiki/Agbara_Oil_and_Gas_Field_(Nigeria)
Akaso,Nigeria,operating,,,Eroton,Eroton Exploration & Production Company (45%);Nigerian National Petroleum Corporation (55%),Eroton Exploration & Production Company (45%);Nigerian National Petroleum Corporation (55%),oil and gas,field,4.5357,7.0103,https://www.gem.wiki/Akaso_Oil_and_Gas_Field_(Nigeria)
