name,type,status,company,location,design_cap,operating,date_of_co,possible_duplicate_of,geometry
Amenam Kpono AG,AG Plant,Operational,TEPNG,,0.0,,,,POINT (7.50558368 4.05779286)
Obite AG,AG Plant,Operational,TEPNG,Obite-Obagi,0.0,,,,POINT (6.6088937 5.24214586)
Soku AG/NAG,AG/NAG Plant,Operational,SPDC,SOKU,1100.0,1100,1999,,POINT (6.61211426 4.65607956)
Agbada AGG,AGG Plant,Operational,SPDC,AGBADA,58.0,58,2002,,POINT (7.01788032 4.93192326)
Awoba AGG,AGG Plant,down,SPDC,AWOBA,50.0,down,2004,,POINT (6.82949524 4.53791859)
Belema AGG,AGG Plant,On stand by,SPDC,AGG Plant,55.0,55,2002,,POINT (6.44878041 4.33345612)
Cawthorne Channel AGG,AGG Plant,Operational,SPDC,Cawthorne Channel,150.0,150,2005,,POINT (7.00142183 4.55973999)
Imo River AGG,AGG Plant,Operational,SPDC,IMO RIVER 1 ?,65.0,65,2002,,POINT (7.20820073 4.90211725)
Krakama GC,AGG Plant,On stand by,SPDC,KRAKAMA,5.0,down,Not Commissioned,,POINT (6.89952094 4.55275918)
Odidi AGG,AGG Plant,down,SPDC,ODIDI,80.0,down,2001,,POINT (5.469177 5.52401101)
Afiesere GC,Compressor Station,On stand by,SPDC,AFIESERE,21.0,8,1997,,POINT (5.97442239 5.53348072)
Agbada_1 GC,Compressor Station,Operational,SPDC,AGBADA,12.0,12,2002,,POINT (6.9775478 4.93365111)
Batan GC,Compressor Station,down,SPDC,BATAN,10.0,down,2002,,POINT (5.53832157 5.53386014)
Belema GC,Compressor Station,On stand by,SPDC,BELEMA,12.0,12,2002,,POINT (6.45830998 4.34751784)
Benisede GC,Compressor Station,,SHELL,Benisede,0.0,,,,POINT (5.70022584 4.99973374)
EGWA_1 GC,Compressor Station,down,SPDC,EGWA,10.0,down,2002,,POINT (5.45474616 5.59945071)
EGWA_2 GC,Compressor Station,down,SPDC,EGWA,10.0,down,2002,,POINT (5.48940558 5.55761115)
Ekulama_1 GC,Compressor Station,On stand by,SPDC,EKULAMA,12.0,12,2002,,POINT (6.71200911 4.55919561)
Ekulama_2 GC,Compressor Station,On stand by,SPDC,EKULAMA,12.0,12,2002,,POINT (6.66386371 4.54793026)
Eriemu GC,Compressor Station,down,SPDC,ERIEMU,10.0,down,2002,,POINT (6.05808943 5.52053396)
Escravos Beach GC,Compressor Station,down,SPDC,ESCRAVOS,18.0,down,NGC,,POINT (5.19400288 5.53421832)
Imo River_3 GC,Compressor Station,Operational,SPDC,IMO RIVER,12.0,12,2002,,POINT (7.20263816 4.89921405)
Jones Creek GC,Compressor Station,down,SPDC,JONES CREEK,18.0,down,NGC,,POINT (5.37866749 5.68795659)
Kokori GC,Compressor Station,down,SPDC,KOKORI,8.0,down,NGC,,POINT (6.05804409 5.6221927)
Nembe Creek _2 GC,Compressor Station,On stand by,SPDC,NEMBE CREEK,10.0,4,2001,,POINT (6.32405399 4.45319792)
Nembe Creek_1 GC,Compressor Station,On stand by,SPDC,NEMBE CREEK,10.0,4,2001,,POINT (6.32301649 4.43392172)
Nembe Creek_3 GC,Compressor Station,On stand by,SPDC,NEMBE CREEK,5.0,4,2001,,POINT (6.28520067 4.45066924)
Nembe Creek_4 GC,Compressor Station,On stand by,SPDC,NEMBE CREEK,5.0,4,2001,,POINT (6.36236037 4.44151158)
Nkali GC,Compressor Station,Operational,SPDC,NKALI,12.0,12,2003,,POINT (7.11776448 4.98336677)
Nun River GC,Compressor Station,,SHELL,Nun River,0.0,,,,POINT (6.07209112 4.73174647)
Oben GC,Compressor Station,On stand by,SPDC,OBEN,16.0,16,NGC,,POINT (5.86672865 6.01217284)
Odeama Creek GC,Compressor Station,Not Commissioned,SPDC,ODEAMA CREEK,5.0,down,Not Commissioned,,POINT (6.51938237 4.45680463)
Odidi GC,Compressor Station,down,SPDC,ODIDI,18.0,down,NGC,,POINT (5.469177 5.52401101)
Olomoro Oleh GC,Compressor Station,down,SPDC,OLOMORO- OLEH,3.3,down,NGC,,POINT (6.17684672 5.46120672)
Oweh GC,Compressor Station,down,SPDC,OWEH,5.5,down,NGC,,POINT (6.13518888 5.48847378)
Santa Barbara GC,Compressor Station,On stand by,SPDC,SANTA BARBARA,8.0,8,2001,,POINT (6.5033945 4.53905874)
Sapele GC,Compressor Station,On stand by,SPDC,SAPELE,24.0,24,2003,,POINT (5.58495317 5.90141363)
Soku GC,Compressor Station,On stand by,SPDC,SOKU,5.0,5,2002,,POINT (6.6332654 4.64985879)
Utorogu GC,Compressor Station,Operational,SPDC,UTOROGU,7.0,7,2004,,POINT (5.88124599 5.36643684)
Uzere West GC,Compressor Station,Down,SPDC,UZERE WEST,10.0,Down,NGC,,POINT (6.23505222 5.28433722)
Irri-Isoko CFS,Condensate Flow Station,Operational,NAOC,Isoko,0.0,,,,POINT (6.25834127 5.50573526)
