SITE_ID,NAME,DESIG_ENG,DESIG_TYPE,IUCN_CAT,REP_AREA,GIS_AREA,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,geometry_type,geometry
36673,Abak River,Forest Reserve,National,Not Reported,0.0,11.1987154118434,Designated,0,Sub-national ministry or agency,Not Reported,Not Reported,polygon,"MULTIPOLYGON (((8.683660000000032 9.37614000000002, 8.686550000000068 9.381390000000067, 8.687890000000039 9.384050000000059, 8.68864000000002 9.386130000000037, 8.692350000000033 9.384910000000048, 8.697580000000073 9.383870000000059, 8.701990000000023 9.384900000000073, 8.705390000000023 9.386790000000076, 8.707039999000074 9.382300000000043, 8.707670000000064 9.376060000000052, 8.708010000000058 9.370460000000037, 8.70813000000004 9.365840000000048, 8.707490000000064 9.359600000000057, 8.706500000000062 9.355030000000056, 8.705740000000048 9.350360000000023, 8.705560000000048 9.345160000000021, 8.70568000000003 9.341110000000072, 8.705500000000029 9.336950000000058, 8.70225000000005 9.333720000000028, 8.700860000000034 9.337190000000021, 8.698540000000037 9.340250000000026, 8.695980000000077 9.341980000000035, 8.692390000000046 9.34337000000005, 8.689490000000035 9.343900000000076, 8.687750000000051 9.351980000000026, 8.684390000000064 9.368850000000066, 8.683660000000032 9.37614000000002)))"
36497,Abba Isari,Forest Reserve,National,Not Reported,0.0,21.5310403890327,Designated,0,Sub-national ministry or agency,Not Reported,Not Reported,polygon,"MULTIPOLYGON (((11.34233000000006 10.86596000000003, 11.342380000000048 10.858180000000061, 11.341980000000035 10.854550000000074, 11.33883000000003 10.851830000000064, 11.334470000000067 10.848720000000071, 11.329290000000071 10.845380000000034, 11.324340000000063 10.841850000000022, 11.321720000000028 10.839600000000075, 11.31940000000003 10.837060000000065, 11.315670000000068 10.837410000000034, 11.313390000000027 10.837990000000048, 11.311470000000043 10.835280000000068, 11.31107000000003 10.832110000000057, 11.310600000000022 10.829570000000047, 11.309610000000077 10.826450000000023, 11.308970000000045 10.824780000000032, 11.305249999000068 10.826280000000054, 11.302690000000041 10.82824000000005, 11.30093000000005 10.829740000000072, 11.30006000000003 10.831870000000038, 11.299710000000061 10.838270000000023, 11.299310000000048 10.840000000000032, 11.289470000000051 10.842420000000061, 11.285810000000026 10.843400000000031, 11.28278000000006 10.844960000000071, 11.280440000000056 10.847900000000038, 11.278300000000058 10.85268000000002, 11.276550000000043 10.85782000000006, 11.275850000000048 10.86122000000006, 11.275960000000055 10.863290000000063, 11.277130000000056 10.865200000000073, 11.279750000000035 10.866350000000068, 11.283770000000061 10.86710000000005, 11.28848000000005 10.868200000000058, 11.29320000000007 10.869060000000047, 11.296230000000037 10.868840000000034, 11.300760000000025 10.867680000000064, 11.30722000000003 10.86641000000003, 11.311710000000062 10.865380000000073, 11.316250000000025 10.864580000000046, 11.328530000000057 10.86919000000006, 11.334940000000074 10.872420000000034, 11.338900000000024 10.874030000000062, 11.342730000000074 10.875480000000039, 11.34233000000006 10.86596000000003)))"
36752,Aburifa,Forest Reserve,National,Not Reported,0.0,0.376869915511833,Designated,0,Sub-national ministry or agency,Not Reported,Not Reported,polygon,"MULTIPOLYGON (((6.329760000000022 8.935600000000022, 6.327910000000031 8.93273000000005, 6.324560000000076 8.932960000000037, 6.322650000000067 8.93572000000006, 6.323050000000023 8.937620000000038, 6.325020000000052 8.93894000000006, 6.328490000000045 8.937790000000064, 6.329760000000022 8.935600000000022)))"
36953,Achalla,Forest Reserve,National,Not Reported,0.0,1.45909592854031,Designated,0,Sub-national ministry or agency,Not Reported,Not Reported,polygon,"MULTIPOLYGON (((6.980560000000025 6.351860000000045, 6.979560000000049 6.3488700000000335, 6.976230000000044 6.349520000000041, 6.974630000000047 6.350860000000068, 6.971180000000061 6.35134000000005, 6.969280000000026 6.35176000000007, 6.96768000000003 6.353850000000023, 6.966720000000066 6.356510000000071, 6.9662700000000655 6.3588700000000244, 6.966170000000034 6.361470000000054, 6.96837000000005 6.362900000000025, 6.970960000000048 6.362770000000069, 6.972270000000037 6.361090000000047, 6.973990000000072 6.359410000000025, 6.975990000000024 6.357890000000054, 6.978120000000047 6.356840000000034, 6.980000000000075 6.353830000000073, 6.980560000000025 6.351860000000045)))"
37021,Achara Ihe,Forest Reserve,National,Not Reported,0.0,15.1308268662858,Designated,0,Sub-national ministry or agency,Not Reported,Not Reported,polygon,"MULTIPOLYGON (((7.952760000000069 5.505640000000028, 7.947300000000041 5.505030000000033, 7.942530000000033 5.505470000000059, 7.938380000000052 5.506600000000049, 7.935440000000028 5.508610000000033, 7.93387000000007 5.5106700000000615, 7.933280000000025 5.513210000000072, 7.933550000000025 5.516560000000027, 7.935080000000028 5.519680000000051, 7.93828000000002 5.522870000000069, 7.942530000000033 5.524970000000053, 7.947350000000029 5.526260000000036, 7.954290000000071 5.52780000000007, 7.960040000000049 5.528810000000021, 7.967100000000073 5.530640000000062, 7.97249000000005 5.533030000000053, 7.977420000000052 5.535540000000026, 7.983490000000074 5.539780000000064, 7.985430000000065 5.540770000000066, 7.987320000000068 5.542280000000062, 7.990100000000041 5.539810000000045, 7.994140000000073 5.536550000000034, 8.002040000000022 5.532500000000027, 8.004000000000076 5.531240000000025, 8.003160000000037 5.52771000000007, 7.999900000000025 5.525100000000066, 7.995130000000074 5.52415000000002, 7.989790000000028 5.523720000000026, 7.983660000000043 5.520170000000064, 7.977590000000021 5.515640000000076, 7.971050000000048 5.513010000000065, 7.964290000000062 5.509740000000022, 7.958500000000072 5.50723000000005, 7.952760000000069 5.505640000000028)))"
36858,Acharane,Forest Reserve,National,Not Reported,0.0,58.8975415868886,Designated,0,Sub-national ministry or agency,Not Reported,Not Reported,polygon,"MULTIPOLYGON (((7.453360000000032 7.3251900000000205, 7.45025000000004 7.325040000000058, 7.447370000000035 7.325920000000053, 7.444780000000037 7.327430000000049, 7.442500000000052 7.331990000000076, 7.440450000000055 7.3369500000000585, 7.43921000000006 7.34030000000007, 7.438180000000045 7.342780000000062, 7.435770000000048 7.344230000000039, 7.432480000000055 7.3447700000000395, 7.428510000000074 7.345140000000072, 7.425230000000056 7.345670000000041, 7.421480000000031 7.347080000000062, 7.419240000000059 7.34847000000002, 7.418220000000076 7.35107000000005, 7.4156300000000215 7.362830000000031, 7.413880000000063 7.368530000000021, 7.41217000000006 7.373090000000047, 7.409890000000075 7.377540000000067, 7.405320000000074 7.384530000000041, 7.40378000000004 7.38713000000007, 7.402240000000063 7.390420000000063, 7.401620000000037 7.392720000000054, 7.401460000000043 7.3949100000000385, 7.401480000000049 7.399000000000058, 7.401670000000024 7.403030000000058, 7.402610000000038 7.40527000000003, 7.40508999900004 7.4062300000000505, 7.41023000000007 7.406840000000045, 7.415710000000047 7.40796000000006, 7.42154000000005 7.4094800000000305, 7.42697000000004 7.4111200000000395, 7.432860000000062 7.412530000000061, 7.437360000000069 7.412850000000049, 7.4434700000000475 7.412990000000036, 7.44912000000005 7.412840000000074, 7.45339000000007 7.412300000000073, 7.458500000000072 7.409970000000044, 7.462870000000066 7.407820000000072, 7.467070000000035 7.4060100000000375, 7.470290000000034 7.404040000000066, 7.471940000000075 7.400630000000035, 7.473190000000045 7.396420000000035, 7.475010000000054 7.391920000000027, 7.47694000000007 7.387420000000077, 7.4784100000000535 7.3815400000000295, 7.479360000000042 7.376580000000047, 7.480130000000031 7.369730000000061, 7.48028000000005 7.364770000000021, 7.480310000000031 7.360510000000033, 7.479470000000049 7.354990000000043, 7.478120000000047 7.3505700000000616, 7.4757900000000745 7.346200000000067, 7.472360000000037 7.341440000000034, 7.468940000000032 7.338240000000042, 7.463730000000055 7.334060000000022, 7.4564300000000685 7.326850000000036, 7.453360000000032 7.3251900000000205)))"
36770,Adaki,Forest Reserve,National,Not Reported,0.0,13.1318363118851,Designated,0,Sub-national ministry or agency,Not Reported,Not Reported,polygon,"MULTIPOLYGON (((6.821360000000027 8.149620000000027, 6.828830000000039 8.148640000000057, 6.834320000000048 8.147260000000074, 6.839650000000063 8.14519000000007, 6.846640000000036 8.142020000000059, 6.84462000000002 8.140170000000069, 6.8394700000000626 8.138040000000046, 6.830790000000036 8.13522000000006, 6.8233900000000745 8.132110000000068, 6.817540000000065 8.130210000000034, 6.813030000000026 8.128260000000068, 6.808520000000044 8.12734000000006, 6.805860000000052 8.127680000000055, 6.801930000000027 8.129410000000064, 6.79863000000006 8.130450000000053, 6.795970000000068 8.130390000000034, 6.787060000000054 8.12435000000005, 6.785380000000032 8.123770000000036, 6.785260000000051 8.12596000000002, 6.78550000000007 8.130220000000065, 6.784740000000056 8.133450000000039, 6.783360000000073 8.136960000000045, 6.7824300000000335 8.140990000000045, 6.781970000000058 8.144850000000076, 6.782200000000046 8.147500000000036, 6.782780000000059 8.149810000000059, 6.788270000000068 8.149060000000077, 6.794410000000028 8.148820000000057, 6.801520000000039 8.150030000000072, 6.808580000000063 8.150720000000035, 6.814830000000029 8.150550000000067, 6.821360000000027 8.149620000000027)))"
36845,Adankolo,Forest Reserve,National,Not Reported,0.0,29.8708143127517,Designated,0,Sub-national ministry or agency,Not Reported,Not Reported,polygon,"MULTIPOLYGON (((6.582170000000076 7.954870000000028, 6.581070000000068 7.953030000000069, 6.578870000000052 7.951950000000068, 6.575530000000072 7.952660000000037, 6.572250000000054 7.954120000000046, 6.568620000000067 7.954080000000033, 6.565210000000036 7.952430000000049, 6.5612800000000675 7.950670000000059, 6.55678000000006 7.949950000000058, 6.552690000000041 7.950890000000072, 6.5485400000000595 7.9512000000000285, 6.544430000000034 7.9492100000000505, 6.539860000000033 7.946420000000046, 6.534710000000075 7.943110000000047, 6.5301900000000614 7.938820000000021, 6.523990000000026 7.933280000000025, 6.518260000000055 7.928310000000067, 6.513280000000066 7.924140000000023, 6.509330000000034 7.91996000000006, 6.5055600000000595 7.9155000000000655, 6.501850000000047 7.912410000000023, 6.49971000000005 7.911730000000034, 6.494640000000061 7.912110000000041, 6.488430000000051 7.91375000000005, 6.4789800000000355 7.915820000000053, 6.474260000000072 7.9173900000000685, 6.469890000000021 7.919660000000022, 6.458720000000028 7.921910000000025, 6.4529000000000565 7.9229100000000585, 6.450080000000071 7.924020000000041, 6.4518900000000485 7.926720000000046, 6.455490000000054 7.93118000000004, 6.459260000000029 7.935010000000034, 6.467190000000073 7.9415200000000254, 6.4703700000000595 7.943810000000042, 6.473260000000039 7.945340000000044, 6.476210000000037 7.945790000000045, 6.47932000000003 7.94491000000005, 6.484090000000037 7.942870000000028, 6.488860000000045 7.940540000000055, 6.492080000000044 7.938860000000034, 6.49508000000003 7.938090000000045, 6.498370000000023 7.938590000000033, 6.502240000000029 7.940870000000075, 6.520110000000045 7.949740000000077, 6.529480000000035 7.954920000000072, 6.538720000000069 7.959070000000054, 6.547390000000064 7.96276000000006, 6.553760000000068 7.966690000000028, 6.557460000000049 7.968340000000069, 6.561100000000067 7.969700000000046, 6.563860000000034 7.969570000000033, 6.567600000000027 7.967540000000042, 6.579600000000028 7.958560000000034, 6.581670000000031 7.956940000000031, 6.582170000000076 7.954870000000028)))"
36268,Adiani,Forest Reserve,National,Not Reported,0.0,1.32038385232823,Designated,0,Sub-national ministry or agency,Not Reported,Not Reported,polygon,"MULTIPOLYGON (((10.42721000000006 12.790360000000021, 10.424570000000074 12.787590000000023, 10.420650000000023 12.787690000000055, 10.41742000000005 12.788090000000068, 10.415960000000041 12.78953000000007, 10.415830000000028 12.793160000000057, 10.416940000000068 12.796440000000075, 10.418920000000071 12.798280000000034, 10.424030000000073 12.798470000000066, 10.427020000000027 12.797210000000064, 10.427900000000022 12.79427000000004, 10.42721000000006 12.790360000000021)))"
36860,Adoru,Forest Reserve,National,Not Reported,0.0,332.394376261599,Designated,0,Sub-national ministry or agency,Not Reported,Not Reported,polygon,"MULTIPOLYGON (((7.054490000000044 6.909780000000069, 7.049190000000067 6.9093500000000745, 7.043090000000063 6.909730000000025, 7.028750000000059 6.908960000000036, 7.024200000000064 6.90841000000006, 7.019080000000031 6.908610000000067, 7.013960000000054 6.908990000000074, 7.008710000000065 6.908100000000047, 7.004210000000057 6.905590000000075, 6.999470000000031 6.902450000000044, 6.993990000000053 6.900230000000022, 6.989550000000065 6.90026000000006, 6.984900000000039 6.901270000000068, 6.980820000000051 6.903310000000033, 6.973440000000039 6.909690000000069, 6.972080000000062 6.913100000000043, 6.971810000000062 6.916390000000035, 6.971780000000024 6.920770000000061, 6.973510000000033 6.929980000000057, 6.974230000000034 6.934880000000021, 6.974190000000021 6.938560000000052, 6.9732400000000325 6.942140000000052, 6.970330000000047 6.945910000000026, 6.966950000000054 6.948930000000075, 6.965470000000039 6.951350000000048, 6.965140000000076 6.95464000000004, 6.96461000000005 6.961560000000077, 6.964870000000076 6.965880000000027, 6.965180000000032 6.969340000000045, 6.964040000000068 6.972570000000076, 6.961630000000071 6.973510000000033, 6.958770000000072 6.97583000000003, 6.9586100000000215 6.977730000000065, 6.959140000000048 6.979630000000043, 6.960240000000056 6.981640000000027, 6.962560000000053 6.984160000000031, 6.9707800000000475 6.990570000000048, 6.975690000000043 6.993880000000047, 6.9793900000000235 6.99726000000004, 6.974570000000028 7.000120000000038, 6.9842100000000755 7.002840000000049, 6.9959400000000755 7.006460000000061, 7.000100000000032 7.0090900000000715, 7.00347000000005 7.013100000000065, 7.006140000000073 7.0166600000000585, 7.008920000000046 7.019470000000069, 7.011940000000038 7.021870000000035, 7.0164400000000455 7.023400000000038, 7.021060000000034 7.023610000000076, 7.026820000000043 7.023060000000044, 7.0328700000000595 7.0219900000000735, 7.038910000000044 7.021150000000034, 7.055690000000027 7.019670000000076, 7.063990000000047 7.01923000000005, 7.08006000000006 7.016830000000027, 7.08910000000003 7.015060000000062, 7.096700000000055 7.013860000000022, 7.1044200000000615 7.012440000000026, 7.1103500000000395 7.010910000000024, 7.119380000000035 7.006650000000036, 7.123290000000054 7.004150000000038, 7.126360000000034 6.99902000000003, 7.1268700000000536 6.997400000000027, 7.127020000000073 6.994170000000054, 7.126430000000028 6.992280000000051, 7.124750000000063 6.990380000000073, 7.122610000000066 6.988840000000039, 7.120760000000075 6.986840000000029, 7.119710000000055 6.984360000000038, 7.118880000000047 6.981600000000071, 7.118520000000046 6.978780000000029, 7.11832000000004 6.974810000000048, 7.117950000000064 6.970490000000041, 7.116940000000056 6.964960000000076, 7.1153000000000475 6.960300000000075, 7.113380000000063 6.95691000000005, 7.105070000000069 6.945550000000026, 7.101370000000031 6.941950000000077, 7.097080000000062 6.9374200000000315, 7.092330000000061 6.932950000000062, 7.0873000000000275 6.928950000000043, 7.081920000000025 6.924480000000074, 7.075910000000022 6.92014000000006, 7.064640000000054 6.913350000000037, 7.059040000000039 6.9109000000000265, 7.054490000000044 6.909780000000069)), ((7.13292000000007 7.047020000000032, 7.1268700000000536 7.046600000000069, 7.120640000000037 7.046750000000031, 7.11447000000004 7.047300000000064, 7.1066900000000714 7.047400000000039, 7.089510000000075 7.048010000000033, 7.077690000000075 7.048250000000053, 7.073030000000074 7.049020000000041, 7.069120000000055 7.0503100000000245, 7.065890000000024 7.051650000000052, 7.063250000000039 7.053510000000074, 7.062400000000025 7.055300000000045, 7.0627000000000635 7.058530000000076, 7.065440000000024 7.063410000000033, 7.069280000000049 7.0686300000000415, 7.078960000000052 7.078140000000076, 7.0832000000000335 7.083590000000072, 7.087730000000022 7.090600000000052, 7.094120000000032 7.108940000000075, 7.095760000000041 7.114750000000072, 7.099260000000072 7.132120000000043, 7.101240000000075 7.1451300000000515, 7.102420000000052 7.1510600000000295, 7.105150000000037 7.163720000000069, 7.105810000000076 7.169700000000034, 7.107580000000041 7.176090000000045, 7.109980000000064 7.182410000000061, 7.11289000000005 7.188210000000026, 7.11674000000005 7.195220000000063, 7.1251700000000255 7.208240000000046, 7.129480000000058 7.215190000000064, 7.132730000000038 7.219890000000021, 7.136740000000032 7.226320000000044, 7.138430000000028 7.228270000000066, 7.139760000000024 7.229530000000068, 7.142240000000072 7.2302700000000755, 7.144360000000063 7.228070000000059, 7.144980000000032 7.2240300000000275, 7.145400000000052 7.217460000000074, 7.146520000000066 7.210890000000063, 7.148670000000038 7.203970000000027, 7.151860000000056 7.196180000000027, 7.15545000000003 7.18930000000006, 7.160200000000032 7.1823100000000295, 7.1638600000000565 7.178080000000023, 7.170060000000035 7.172750000000065, 7.174470000000042 7.167310000000043, 7.17733000000004 7.163490000000024, 7.181400000000053 7.159550000000024, 7.187430000000063 7.154800000000023, 7.193120000000022 7.150680000000023, 7.196320000000071 7.147150000000067, 7.198950000000025 7.142810000000054, 7.199220000000025 7.139810000000068, 7.1988000000000625 7.136360000000025, 7.1965900000000715 7.133440000000064, 7.194160000000068 7.130680000000041, 7.1924000000000206 7.125680000000045, 7.190740000000062 7.1182000000000585, 7.189100000000053 7.112910000000056, 7.186590000000024 7.107740000000035, 7.183910000000026 7.103200000000072, 7.179740000000038 7.098850000000027, 7.174470000000042 7.095480000000066, 7.169670000000053 7.091530000000034, 7.159450000000049 7.079140000000052, 7.156190000000038 7.073400000000049, 7.15229000000005 7.066740000000038, 7.148280000000057 7.060880000000054, 7.1439300000000685 7.05618000000004, 7.140330000000063 7.051420000000064, 7.136680000000069 7.048330000000021, 7.13292000000007 7.047020000000032)))"
