asset_id,asset_name,asset_type,program_name,state,lga,community,developer,owner_operator,technology,status,capacity_kw,customers_served,financing_source,latitude,longitude,geocode_precision,source_name,source_url,source_date_accessed,notes
se4all-mg-63,Igu,mini_grid,,Abuja Federal Capital Territory,Bwari,Igu,,,solar,operational,3.0,,,9.2778417,7.4720825,exact_site,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-23,"raw status='Existing', condition='Operational'"
se4all-mg-1,Kigbe,mini_grid,Havenhill,Abuja Federal Capital Territory,Kwali,Kigbe,Havenhill,Havenhill,solar,operational,20.0,,Equity;Grant,8.6812,7.0945,exact_site,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-23,"raw status='Existing', condition='Operational'"
se4all-mg-22,Rije,mini_grid,USADF off-Grid Energy Program,Abuja Federal Capital Territory,Kuje,Rije,Ajima Farms & General Enterprises Nig. LTD,Ajima Farms & General Enterprises Nig. LTD,other,unknown,20.0,5555.0,,8.8840154,7.298122,exact_site,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-23,"raw status='None', condition='Operational'"
se4all-mg-39,Yebu,mini_grid,Havenhill,Abuja Federal Capital Territory,Kwali,Yebu,Havenhill,Havenhill,solar,operational,40.0,,Debt; Equity; Grant,8.683064,7.094908,exact_site,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-23,"raw status='Existing', condition='Operational'"
se4all-mg-50,Dakkiti,mini_grid,REA-REF,Adamawa,Dakkiti,Dakkiti,Leading Diagonal Engineering LTD,Leading Diagonal Engineering LTD,hybrid_mini_grid,under_construction,85.0,506.0,Equity;Grant,9.4274946,11.739378,exact_site,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-23,"raw status='Under Construction', condition='Non Operational'"
se4all-mg-43,Akpabom,mini_grid,"GVE;Akwa Ibom Govt; REA-REF, All On, ElectriFI",Akwa Ibom,Onna,Akpabom,GVE& Akwa Ibom,GVE& Akwa Ibom,hybrid_mini_grid,operational,80.0,440.0,Debt; Equity;Grant,4.5847945,7.8351848,exact_site,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-23,"raw status='Existing', condition='Operational'"
se4all-mg-14,Okpechalla/Atachile,mini_grid,BoI;UNDP;GVE,Anambra,Anambra West,Okpechalla/Atachile,GVE,GVE,solar,operational,27.0,100.0,Equity;Grant,6.5314661,6.7048381,exact_site,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-23,"raw status='Existing', condition='Operational'"
se4all-mg-18,Onono-Anam,mini_grid,BoI;UNDP;IEEE,Anambra,Anambra West,Onono-Anam,GVE,GVE,solar,operational,40.0,200.0,Debt;Grant,6.1986552,6.7637532,exact_site,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-23,"raw status='Existing', condition='Operational'"
se4all-mg-19,Onono-Anam Phase 2,mini_grid,BoI;UNDP;GVE,Anambra,Anambra West,Onono-Anam Phase 2,GVE,GVE,solar,operational,80.0,300.0,Equity;Grant,6.198,6.764,exact_site,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-23,"raw status='Existing', condition='Operational'"
se4all-mg-65,Bayan Fada,mini_grid,,Bauchi,Ningi,Bayan Fada,,,hybrid_mini_grid,operational,8.0,,,11.071636,9.572911,exact_site,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-23,"raw status='Existing', condition='Operational'"
se4all-mg-57,Gaza,mini_grid,,Bauchi,Shira,Gaza,,,solar,operational,18.0,,,11.4283874,10.1066208,exact_site,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-23,"raw status='Existing', condition='Operational'"
se4all-mg-61,Gololo,mini_grid,,Bauchi,Gamawa,Gololo,,,solar,operational,10.0,,,12.31586,10.6906,exact_site,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-23,"raw status='Existing', condition='Operational'"
se4all-mg-28,Tarmasuwa,mini_grid,REA,Bauchi,Gamawa,Tarmasuwa,,,solar,operational,10.0,,,11.797539,10.777483,exact_site,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-23,"raw status='Existing', condition='Operational'"
se4all-mg-42,Akipelai,mini_grid,REA-NEP-WB,Bayelsa,Ogbia,Akipelai,Renewvia Energy Cooperation,Renewvia Energy Cooperation,hybrid_mini_grid,operational,67.0,,Debt; Equity;Grant,4.6302917,6.3391667,exact_site,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-23,"raw status='Existing', condition='Operational'"
se4all-mg-15,Oloibri,mini_grid,REA-NEP-WB,Bayelsa,Ogbia,Oloibri,Renewvia Energy Cooperation,Renewvia Energy Cooperation,hybrid_mini_grid,operational,67.0,,Debt; Equity; Grant,4.6701563,6.3132176,exact_site,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-23,"raw status='Existing', condition='Operational'"
se4all-mg-21,Pakau,mini_grid,,Benue,Kagarko,Pakau,,,solar,operational,24.0,,,7.31667,9.39678,exact_site,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-23,"raw status='Existing', condition='Not Operational'"
se4all-mg-56,Esham,mini_grid,,Cross River,Ogoja,Esham,,,solar,commissioned,18.0,,,6.4438755,8.6882438,exact_site,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-23,"raw status='Existing', condition='Non Operational'"
se4all-mg-32,Umon Island,mini_grid,EU; NESP,Cross River,Biase,Umon Island,Community Research & Development Centre,Community Research & Development Centre,solar,operational,50.0,65.0,,5.3194098,8.0822864,exact_site,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-23,"raw status='Existing', condition='Operational'"
se4all-mg-55,Eka Awoke,mini_grid,REA;REF,Ebonyi,Ikwo,Eka Awoke,Cloud Energy,Cloud Energy,hybrid_mini_grid,operational,100.0,855.0,Debt; Equity;Grant,6.0724852,8.1411001,exact_site,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-23,"raw status='Existing', condition='Operational'"
se4all-mg-20,Orie Obeagu Isu,mini_grid,REA;REF,Ebonyi,Obeagu Isu,Orie Obeagu Isu,Zylab Technologies Nigeria Limited,Zylab Technologies Nigeria Limited,hybrid_mini_grid,under_construction,66.0,100.0,Debt;Equity; Grant,6.2570739,7.7625652,exact_site,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-23,"raw status='Under Construction', condition='Non Operational'"
se4all-mg-34,Umuntumuna Obeagu Isu,mini_grid,,Ebonyi,Obeagu Isu,Umuntumuna Obeagu Isu,,,hybrid_mini_grid,under_construction,33.0,,,6.2589034,7.7691776,exact_site,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-23,"raw status='Under Construction', condition='Non Operational'"
se4all-mg-40,Adebayo,mini_grid,REA,Edo,Ovia South West,Adebayo,ACOB,ACOB,hybrid_mini_grid,under_construction,100.0,,Debt; Equity;Grant,6.40228,5.10888,exact_site,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-23,"raw status='Under Construction', condition='Non operational'"
