geohash,settlement_name,state,lga,lat,lon,population,state_population_rank,num_buildings,building_density_percent,nightlight_signal,distance_to_existing_transmission_lines,distance_to_existing_hv_transmission_lines,distance_to_gridlight_targets,main_road_access,dist_main_road_km,has_education_facility,has_health_facility,mean_rwi,pv_value,num_connections,demand,demand_connection
s0vjpmj76c,Aba,Abia,Aba North,5.125689,7.35719,1233663,1,261853,14.91,nightlight_detected,0.0,0.0,0.0,True,0.0,True,True,0.6,1291.259,261853,153609.5,0.587
s0vr66v541,Location #45,Abia,Umuahia North,5.508793,7.488644,552362,2,113397,16.62,nightlight_detected,0.0,0.0,0.0,True,0.0,True,True,0.8,1331.108,113397,66307.3,0.585
s0vnr7w01g,Ura Nta Umuarandu,Abia,Isiala-Ngwa South,5.336626,7.35817,120214,3,26615,4.88,nightlight_detected,0.0,0.0,0.0,True,0.0,True,True,0.5,1325.005,26615,14233.4,0.535
s1j3bpysc9,Ngodo,Abia,Umu-Nneochi,5.976015,7.39181,66043,4,13695,10.66,nightlight_detected,0.0,4.89,0.0,True,0.0,True,True,0.2,1363.93,13695,7341.2,0.536
s1j8447h7b,Ohafia,Abia,Ohafia,5.63809,7.826557,63682,5,13111,17.63,nightlight_detected,0.0,34.84,0.0,True,0.0,True,True,0.2,1348.406,13111,7806.6,0.595
s1j82n25k2,Abiriba,Abia,Ohafia,5.703837,7.734564,54954,6,11298,16.84,nightlight_detected,0.0,24.37,0.0,True,0.0,True,True,0.5,1349.739,11298,7101.8,0.629
s0vqbnf1b1,Ama Apu,Abia,Isiala-Ngwa South,5.442659,7.385567,54860,7,11375,7.27,nightlight_detected,0.0,0.0,0.0,True,0.0,True,True,0.5,1334.297,11375,6055.0,0.532
s0vwetqzh9,Arochukwu,Abia,Arochukwu,5.391375,7.897654,46656,8,9647,14.78,nightlight_detected,0.0,19.75,0.0,True,0.0,True,True,0.3,1327.15,9647,6149.5,0.637
s0vmbe1svt,Umu Enge,Abia,Isiala-Ngwa North,5.246816,7.40709,31952,9,7107,5.11,nightlight_detected,0.0,6.35,0.0,True,0.0,True,True,0.4,1314.697,7107,3597.8,0.506
s0vrf57w6b,Umuahia,Abia,Umuahia North,5.599983,7.475631,28409,10,6428,13.57,nightlight_detected,0.0,0.0,0.0,True,0.0,True,True,0.8,1341.259,6428,3524.7,0.548
s1j2qp5czu,Location #652,Abia,Bende,5.707723,7.651972,26434,11,5458,14.1,nightlight_detected,0.0,15.57,0.0,True,0.0,True,True,0.4,1351.571,5458,2912.1,0.534
s0vxdk6c7t,Ohafia,Abia,Ohafia,5.560698,7.837186,24183,12,5273,12.75,nightlight_detected,0.0,33.93,0.0,True,0.0,True,True,0.3,1342.416,5273,2872.5,0.545
s0vrup8x9v,Akoli Imenyi,Abia,Bende,5.623571,7.559361,21600,13,4578,17.03,nightlight_detected,0.0,5.85,0.0,True,0.0,True,True,0.4,1347.553,4578,2507.4,0.548
s0vhj7bb1y,Obehie,Abia,Ukwa West,4.942509,7.263073,20826,14,4369,10.12,nightlight_detected,0.0,0.0,0.0,True,0.0,True,True,0.4,1269.974,4369,2484.4,0.569
s1j2e7hq83,Location #856,Abia,Isiukwuato,5.730496,7.531489,20451,15,4373,11.12,nightlight_detected,0.0,0.77,0.0,True,0.0,True,True,0.5,1355.547,4373,2408.6,0.551
s1j39p3d9d,Location #916,Abia,Umu-Nneochi,5.928942,7.428887,19481,16,4135,12.14,nightlight_detected,0.0,0.42,0.0,True,0.0,True,True,0.2,1361.652,4135,2183.3,0.528
s0vxfxxwpy,Ohafia,Abia,Ohafia,5.623318,7.854873,18634,17,3892,15.88,nightlight_detected,0.0,38.78,0.0,True,0.0,True,True,0.2,1337.546,3892,2264.3,0.582
s1j2sgq09z,Alayi,Abia,Bende,5.730868,7.599878,17405,18,3604,13.29,nightlight_detected,0.0,9.76,0.0,True,0.0,True,True,0.2,1347.864,3604,1893.4,0.525
