cell_id,grid_lat,grid_lon,settlement_count,named_settlement_count,population_estimate,population_with_nightlight_signal,population_without_nightlight_signal,nightlight_population_share_pct,total_buildings,reported_connections,modeled_demand,population_weighted_distance_transmission_km,population_weighted_distance_gridlight_km
nga_4.375_5.875,4.375,5.875,20.0,20.0,13678.0,5252.0,8426.0,38.39742652434566,2875.0,2875.0,1242.3,54.88923380611201,8.887122093873373
nga_4.375_6.125,4.375,6.125,47.0,47.0,48109.0,36544.0,11565.0,75.96083892826707,10322.0,10322.0,4714.6,33.89143278804382,1.0287378868818726
nga_4.375_6.375,4.375,6.375,18.0,18.0,18404.0,14358.0,4046.0,78.01564877200609,3919.0,3919.0,1899.6000000000004,24.029357748315583,0.6520979134970659
nga_4.375_6.625,4.375,6.625,30.0,30.0,14328.0,4049.0,10279.0,28.25935231714126,3239.0,3239.0,1292.6999999999998,6.721187883863761,5.4494997906197655
nga_4.375_6.875,4.375,6.875,21.0,21.0,6171.0,1437.0,4734.0,23.28633932912008,1451.0,1451.0,565.4,2.0819818505914767,7.5770918813806505
nga_4.375_7.125,4.375,7.125,60.0,60.0,102046.0,84652.0,17394.0,82.95474589890834,21256.0,21256.0,11111.5,0.5298317425474786,0.546961605550438
nga_4.375_7.375,4.375,7.375,35.0,35.0,43980.0,1165.0,42815.0,2.648931332423829,9193.0,9193.0,4412.4,6.664775579809004,4.704164120054571
nga_4.375_7.625,4.375,7.625,15.0,15.0,10118.0,0.0,10118.0,0.0,2170.0,2170.0,978.3000000000002,4.0797707056730586,4.00874263688476
nga_4.625_5.625,4.625,5.625,22.0,22.0,13944.0,2892.0,11052.0,20.740103270223752,2958.0,2958.0,1199.0,46.46805507745266,8.961185742971887
nga_4.625_5.875,4.625,5.875,26.0,26.0,15195.0,4407.0,10788.0,29.002961500493583,3430.0,3430.0,1629.3,38.49502994406055,3.137856531753866
nga_4.625_6.125,4.625,6.125,39.0,39.0,34716.0,12586.0,22130.0,36.25417674847333,7645.0,7645.0,3936.6,20.72307235856666,3.201196422398894
nga_4.625_6.375,4.625,6.375,59.0,59.0,70290.0,23681.0,46609.0,33.690425380566225,15252.0,15252.0,7907.6,2.0879816474605204,4.879037060748328
nga_4.625_6.625,4.625,6.625,43.0,43.0,13521.0,1884.0,11637.0,13.933880630130908,3165.0,3165.0,1322.1,8.031377117077138,4.633274609866135
nga_4.625_6.875,4.625,6.875,44.0,44.0,65751.0,49981.0,15770.0,76.01557390762117,13907.0,13907.0,6848.200000000001,0.8658394549132332,0.7324732551596173
nga_4.625_7.125,4.625,7.125,66.0,66.0,128043.0,84237.0,43806.0,65.78805557508025,26742.0,26742.0,13325.0,0.5316055543840741,0.5003235787977477
nga_4.625_7.375,4.625,7.375,105.0,105.0,459900.0,255629.0,204271.0,55.583605131550335,97152.0,97152.0,49238.6,1.462299521635138,1.3283950619699934
nga_4.625_7.625,4.625,7.625,157.0,157.0,220822.0,80071.0,140751.0,36.260426950213294,47413.0,47413.0,25690.299999999996,2.7890207497441377,3.0817298819863965
