state,settlement_count,named_settlement_count,dre_cluster_population,population_with_nightlight_signal,population_without_nightlight_signal,nightlight_population_share_pct,total_buildings,reported_connections,modeled_demand,population_weighted_distance_transmission_km,population_weighted_distance_gridlight_km,worldpop_population_2025,dre_vs_worldpop_difference_pct
Abia,926.0,926.0,3822478.0,2962858.0,859620.0,77.51144676306835,822828.0,822828.0,459279.10000000003,0.28475190439290954,0.4930716713085072,3924169.25,-2.5914083598713282
Abuja Federal Capital Territory,1294.0,1294.0,6119288.0,5567402.0,551886.0,90.9812056566058,1301162.0,1301162.0,638430.2,0.41751015641035366,0.43910988435255865,3735905.649,63.79664196385596
Adamawa,5919.0,5919.0,6239136.0,3379212.0,2859924.0,54.16153775138096,1376433.0,1376433.0,509640.7,6.268381617262391,4.172991890704097,6006481.456,3.8733915305373374
Akwa Ibom,1926.0,1926.0,4018329.0,2368544.0,1649785.0,58.94350611908582,857990.0,857990.0,501441.89999999997,0.8995542550149578,1.8933145802645825,4281013.948,-6.136045133016228
Anambra,433.0,433.0,5493806.0,5162514.0,331292.0,93.969717896846,1136801.0,1136801.0,646536.7,0.013596361065534532,0.13656005071893693,5788664.686,-5.093725444369257
Bauchi,9797.0,9797.0,7304359.0,3336947.0,3967412.0,45.684323566243116,1629374.0,1629374.0,599803.7,3.0803471529808433,4.322429364575317,8781376.998,-16.819890528972817
Bayelsa,550.0,550.0,1124173.0,805614.0,318559.0,71.66281346376402,240206.0,240206.0,132711.4,6.025413970981335,1.5828719316332984,2523453.676,-55.45101498427506
Benue,15165.0,15165.0,9341739.0,4109202.0,5232537.0,43.987548785081664,2101511.0,2101511.0,811409.4999999999,2.27837895171338,3.7651969926584337,9067209.083,3.0277223618314064
Borno,4746.0,4746.0,6337525.0,4407089.0,1930436.0,69.5395915597966,1362463.0,1362463.0,500686.30000000005,9.104419501303742,3.9515943724087874,6269578.236,1.0837533473918426
Cross River,1629.0,1629.0,2475017.0,1349873.0,1125144.0,54.539948614494364,538494.0,538494.0,294427.5,0.7479232506281775,3.1349610144091944,2566393.397,-3.5604984452818043
Delta,1453.0,1453.0,5372380.0,4266189.0,1106191.0,79.40966573473953,1149761.0,1149761.0,716726.2,0.6887058212561286,0.9427257606498424,7712872.39,-30.3452756852885
Ebonyi,3240.0,3240.0,2168107.0,1010106.0,1158001.0,46.58930578610742,476487.0,476487.0,226367.1,0.390140145297257,2.646549487640601,2567908.144,-15.56913727362671
Edo,1541.0,1541.0,5480530.0,4658344.0,822186.0,84.99805675728442,1187214.0,1187214.0,780855.6000000001,0.3659465471405138,0.7046511899396591,6633884.179,-17.38580517656637
