project,country,status,discovery_year,start_year,operator,owner,parent,fuel_type,unit_type,lat,lng,url
Ahnet,Algeria,in development,1953,2025 (expected),Sonatrach,,,gas,field,24,2,https://www.gem.wiki/Ahnet_Gas_Field_(Algeria)
Ain Tsila,Algeria,in development,2009,2022 (expected),Groupment Isarene,Petroceltic (38.3%);Enel (18.4%);Sonatrach (43.4%),Worldview Capital Management group (38.3%);Enel Spa (18.4%);Sonatrach SPA (43.4%),oil and gas,field,27.693,8.012,https://www.gem.wiki/Ain_Tsila_Oil_and_Gas_Field_(Algeria)
Alrar,Algeria,operating,,1987,Sonatrach,Sonatrach (100%),Sonatrach SPA (100%),gas,field,28.561,9.645,https://www.gem.wiki/Alrar_Gas_Field_(Algeria)
Berkine South,Algeria,operating,,2022,"Eni, Sonatrach",,,gas,field,30.878,7.955,https://www.gem.wiki/Berkine_South_Gas_Field_(Algeria)
Bir El Msana (BMS),Algeria,operating,2003,2015,Cepsa,Cepsa (75%);Sonatrach (25%),Mubadala Investment Company (47.2%);Carlyle Group (27.7%);Sonatrach SPA (25%),oil,field,26.418,9.0796,https://www.gem.wiki/Bir_El_Msana_(BMS)_Oil_Field_(Algeria)
Bir El Qatara (Tifernine),Algeria,operating,1993,1998,Repsol,,,oil,field,27.795,7.561,https://www.gem.wiki/Bir_El_Qatara_(Tifernine)_Oil_Field_(Algeria)
Bir Rebaa Nord,Algeria,operating,1995,1995,Groupement Sonatrach-Agip,Eni S.P.A. (50%);Sonatrach (50%),Eni S.P.A. (50%);Sonatrach SPA (50%),oil,field,31.249,8.645,https://www.gem.wiki/Bir_Rebaa_Nord_Oil_Field_(Algeria)
Bir Rebaa Sud-Ouest,Algeria,operating,1995,1995,Groupement Sonatrach-Agip,Eni S.P.A. (50%);Sonatrach (50%),Eni S.P.A. (50%);Sonatrach SPA (50%),oil,field,31.194,8.505,https://www.gem.wiki/Bir_Rebaa_Sud-Ouest_Oil_Field_(Algeria)
Bir Seba Phase 1,Algeria,operating,2006,2015,Groupement Bir Seba,Sonatrach (25%);PetroVietnam Exploration Production Corporation (40%);PTT Exploration & Production Algeria (35%),Sonatrach SPA (25%);Vietnam Oil and Gas Group (40%);PTT PLC (35%),oil,field,32.524,6.601,https://www.gem.wiki/Bir_Seba_Phase_1_Oil_Field_(Algeria)
Bir Seba Phase 2,Algeria,in development,,2023 (expected),Groupement Bir Seba,Sonatrach (25%);PetroVietnam Exploration Production Corporation (40%);PTT Exploration & Production Algeria (35%),Sonatrach SPA (25%);Vietnam Oil and Gas Group (40%);PTT PLC (35%),oil,field,32.524,6.601,https://www.gem.wiki/Bir_Seba_Phase_2_Oil_Field_(Algeria)
Central Area Field Complex (CAFC),Algeria,operating,,2017,Eni S.P.A.,Eni S.P.A. (75%),Eni S.P.A. (75%),oil and gas,complex,26.418,9.0796,https://www.gem.wiki/Central_Area_Field_Complex_(CAFC)_Oil_and_Gas_Complex_(Algeria)
El Merk (EMK),Algeria,operating,1993,2013,Groupement Berkine,Sonatrach (37.7%);Occidental Petroleum Corporation (18.1%);TotalEnergies (9%);PT Pertamina (16.9%);Other (18.2%),Sonatrach SPA (37.7%);Occidental Petroleum Corporation (18.1%);TotalEnergies (9%);PT Pertamina (Persero) (16.9%);Other (18.2%),oil and gas,field,30.144,8.73,https://www.gem.wiki/El_Merk_(EMK)_Oil_and_Gas_Field_(Algeria)
Gassi El Agreb,Algeria,operating,1959,1960,SonaHess,Sonatrach (51%);Hess Corporation (49%),Sonatrach SPA (51%);Hess Corporation (49%),oil,complex,30.884,5.143,https://www.gem.wiki/Gassi_El_Agreb_Oil_Complex_(Algeria)
